subset,metric,rmse_best,metric_best,same_top1,spearman_vs_rmse
FD001,mae,asymmetric_w2_h64_l1_w30,asymmetric_w2_h64_l1_w30,True,0.7619047619047621
FD001,nasa_per_engine,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.1666666666666667
FD001,critical_rmse_30,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.14285714285714288
FD001,critical_rmse_50,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.023809523809523815
FD001,overestimation_ratio,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.261904761904762
FD001,overestimation_magnitude,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.2142857142857143
FD001,sarbi,asymmetric_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,0.19047619047619052
FD002,mae,critical_w2_h64_l1_w30,critical_w2_h64_l1_w30,True,0.9523809523809524
FD002,nasa_per_engine,critical_w2_h64_l1_w30,asymmetric_w2_h64_l1_w30,False,0.5476190476190477
FD002,critical_rmse_30,critical_w2_h64_l1_w30,safety_w2_h64_l1_w30,False,-0.7142857142857144
FD002,critical_rmse_50,critical_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.4761904761904762
FD002,overestimation_ratio,critical_w2_h64_l1_w30,asymmetric_w3_h64_l1_w30,False,-0.9523809523809524
FD002,overestimation_magnitude,critical_w2_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.9761904761904763
FD002,sarbi,critical_w2_h64_l1_w30,critical_w3_h64_l1_w30,False,-0.4761904761904762
FD003,mae,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,1.0
FD003,nasa_per_engine,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,0.7142857142857144
FD003,critical_rmse_30,critical_w3_h64_l1_w30,asymmetric_w2_h64_l1_w30,False,0.523809523809524
FD003,critical_rmse_50,critical_w3_h64_l1_w30,critical_w2_h64_l1_w30,False,0.7142857142857144
FD003,overestimation_ratio,critical_w3_h64_l1_w30,asymmetric_w3_h64_l1_w30,False,-0.04761904761904763
FD003,overestimation_magnitude,critical_w3_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.09523809523809526
FD003,sarbi,critical_w3_h64_l1_w30,critical_w3_h64_l1_w30,True,0.6904761904761906
FD004,mae,baseline_lr1e-3_h64_l1_w30,baseline_lr1e-3_h64_l1_w30,True,0.8095238095238096
FD004,nasa_per_engine,baseline_lr1e-3_h64_l1_w30,safety_w2_h64_l1_w30,False,-0.19047619047619052
FD004,critical_rmse_30,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.6904761904761906
FD004,critical_rmse_50,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.7380952380952381
FD004,overestimation_ratio,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.7619047619047621
FD004,overestimation_magnitude,baseline_lr1e-3_h64_l1_w30,safety_w3_h64_l1_w30,False,-0.7619047619047621
FD004,sarbi,baseline_lr1e-3_h64_l1_w30,safety_w2_h64_l1_w30,False,-0.4761904761904762
