subset,model,seed,window_size,max_rul,critical_threshold_checked,critical_count,critical_rmse,critical_mae,critical_overestimation_ratio,critical_overestimation_magnitude
FD001,cnn,42,30,130,20.0,16,18.060605669091846,8.68301940625,0.5625,7.508563687500001
FD001,cnn,42,30,130,30.0,25,24.79100151744029,15.36383048,0.64,14.0753582
FD001,cnn,42,30,130,50.0,33,23.80790994156091,15.961537606060604,0.696969696969697,14.157480636363637
FD001,cnn,42,30,130,70.0,42,24.81370690539091,17.787369619047617,0.7619047619047619,16.369896285714283
FD001,cnn,43,30,130,20.0,16,19.56342747059226,9.413678375,0.5,7.6976309375
FD001,cnn,43,30,130,30.0,25,25.470064829906466,14.72060324,0.6,13.24006812
FD001,cnn,43,30,130,50.0,33,24.667984981873822,15.377133575757574,0.5454545454545454,12.646004787878788
FD001,cnn,43,30,130,70.0,42,26.31813176488659,18.22021514285714,0.5952380952380952,15.542217190476189
FD001,cnn,44,30,130,20.0,16,26.986761336758228,17.446095375,0.875,17.191634999999998
FD001,cnn,44,30,130,30.0,25,29.297894147045316,20.85322064,0.88,20.482538400000003
FD001,cnn,44,30,130,50.0,33,27.76895977676685,20.335901212121207,0.8181818181818182,19.458278545454547
FD001,cnn,44,30,130,70.0,42,28.151512088661427,21.386950738095237,0.8571428571428571,20.697390071428572
FD001,gradient_boosting,42,30,130,20.0,16,4.627368603231814,3.937538959162613,0.75,3.166860637324844
FD001,gradient_boosting,42,30,130,30.0,25,5.501058670394657,4.389432497882452,0.76,3.330565392646138
FD001,gradient_boosting,42,30,130,50.0,33,5.839167772573208,4.531174444244102,0.696969696969697,3.2372597216492385
FD001,gradient_boosting,42,30,130,70.0,42,9.445796409659263,6.857058510018497,0.7142857142857143,4.939187745640508
FD001,gradient_boosting,43,30,130,20.0,16,4.1969848731499555,3.3947489435568237,0.6875,2.7599882709675048
FD001,gradient_boosting,43,30,130,30.0,25,4.862567773652404,3.8646896084353775,0.64,2.6963616027642825
FD001,gradient_boosting,43,30,130,50.0,33,5.35539020342574,4.107876296472851,0.6060606060606061,2.868004872888861
FD001,gradient_boosting,43,30,130,70.0,42,10.623031281295312,7.144075646751615,0.6428571428571429,5.123170843471386
FD001,gradient_boosting,44,30,130,20.0,16,4.701387872253316,3.7756922173793313,0.75,3.2380756187209982
FD001,gradient_boosting,44,30,130,30.0,25,5.21624167113389,4.342827647729995,0.68,3.1461769296357556
FD001,gradient_boosting,44,30,130,50.0,33,5.6198059873234145,4.396362314811423,0.6666666666666666,3.034991958128655
FD001,gradient_boosting,44,30,130,70.0,42,9.520287247731627,6.812773713366452,0.6666666666666666,4.800489281213776
FD001,gru,42,30,130,20.0,16,4.365226045998621,3.1391287500000002,0.6875,2.4964079999999997
FD001,gru,42,30,130,30.0,25,4.599905350900695,3.65301308,0.64,2.6164524400000007
FD001,gru,42,30,130,50.0,33,5.197810370008181,4.1721916666666665,0.6060606060606061,2.5947082121212124
FD001,gru,42,30,130,70.0,42,11.14101078952781,7.523049095238096,0.6428571428571429,5.499929904761906
FD001,gru,43,30,130,20.0,16,2.8005574461591856,2.04223133125,0.25,0.8755666875000001
FD001,gru,43,30,130,30.0,25,3.6199114355632216,2.914029572,0.36,1.5448514799999997
FD001,gru,43,30,130,50.0,33,5.48639218498324,3.9376502818181818,0.42424242424242425,2.0349082727272725
FD001,gru,43,30,130,70.0,42,11.650347307677576,7.187680840476192,0.5,5.008215452380953
FD001,gru,44,30,130,20.0,16,5.091870099067872,3.371631125,0.5,2.1446980937499998
FD001,gru,44,30,130,30.0,25,5.619321632286423,4.07509112,0.6,2.9208756200000003
FD001,gru,44,30,130,50.0,33,6.445015009685348,4.570796727272728,0.5757575757575758,3.2378012575757578
FD001,gru,44,30,130,70.0,42,11.02747540256838,6.8949741666666675,0.6190476190476191,5.221222678571428
FD001,gru_safety_mse,42,30,130,20.0,16,3.845385693730407,3.08190723125,0.625,2.407622375
FD001,gru_safety_mse,42,30,130,30.0,25,3.8083743367417795,3.082168348,0.56,2.2693317200000003
FD001,gru_safety_mse,42,30,130,50.0,33,4.759660511283745,3.740072324242424,0.5151515151515151,1.9894125454545455
FD001,gru_safety_mse,42,30,130,70.0,42,7.616238046235664,5.720550373809524,0.5714285714285714,3.5415533333333338
FD001,gru_safety_mse,43,30,130,20.0,16,3.8122231270238682,3.0601466562499997,0.8125,2.78679459375
FD001,gru_safety_mse,43,30,130,30.0,25,3.7813862569402574,3.0557894599999997,0.68,2.53469554
FD001,gru_safety_mse,43,30,130,50.0,33,4.531463368432382,3.531956742424242,0.5757575757575758,2.1819434090909096
FD001,gru_safety_mse,43,30,130,70.0,42,11.305246370368863,6.638543797619047,0.5952380952380952,4.660492559523809
FD001,gru_safety_mse,44,30,130,20.0,16,3.5234849277045677,2.55779011875,0.375,1.4393798125
FD001,gru_safety_mse,44,30,130,30.0,25,3.665927406388131,2.8693265560000003,0.4,1.65481296
FD001,gru_safety_mse,44,30,130,50.0,33,5.297961421133535,3.621770724242424,0.36363636363636365,1.8001782424242423
FD001,gru_safety_mse,44,30,130,70.0,42,11.797223482839852,6.614958973809523,0.4523809523809524,4.246194642857143
FD001,lstm,42,30,130,20.0,16,3.6821384939461863,2.8624475124999997,0.5625,2.096893375
FD001,lstm,42,30,130,30.0,25,3.9872468475452316,3.075940008,0.6,2.49586488
FD001,lstm,42,30,130,50.0,33,7.205431734525744,4.856907915151515,0.6060606060606061,3.3927355151515157
FD001,lstm,42,30,130,70.0,42,10.430884702430678,6.9790551,0.6190476190476191,4.9801548095238095
FD001,lstm,43,30,130,20.0,16,5.00699341461242,4.11412484375,0.9375,4.01684359375
FD001,lstm,43,30,130,30.0,25,5.239759136074216,4.435117340000001,0.92,4.207170100000001
FD001,lstm,43,30,130,50.0,33,5.895434940381128,4.808543287878788,0.8181818181818182,4.039883106060606
FD001,lstm,43,30,130,70.0,42,12.51719548979558,8.242337988095239,0.7857142857142857,6.924996488095238
FD001,lstm,44,30,130,20.0,16,3.5814843230197893,2.6938527625,0.5625,1.7717011875000002
FD001,lstm,44,30,130,30.0,25,4.499649793608384,3.4564360480000005,0.6,2.70933956
FD001,lstm,44,30,130,50.0,33,6.464866248819689,4.499338551515152,0.6363636363636364,3.1690211818181826
FD001,lstm,44,30,130,70.0,42,11.424685058817605,6.598601933333333,0.6666666666666666,4.9950285714285725
FD001,random_forest,42,30,130,20.0,16,4.966352410389195,3.4913967201779688,0.75,3.1337042824074066
FD001,random_forest,42,30,130,30.0,25,5.645545842520087,4.10496823953824,0.76,3.6221300000000007
FD001,random_forest,42,30,130,50.0,33,6.05185928113685,4.52639110720929,0.7878787878787878,3.7839200984200994
FD001,random_forest,42,30,130,70.0,42,9.129117385204845,6.421793945032042,0.7857142857142857,5.121630751303372
FD001,random_forest,43,30,130,20.0,16,4.890449528139819,3.5393050595238087,0.6875,3.234747685185184
FD001,random_forest,43,30,130,30.0,25,5.97393512619003,4.350408003848006,0.68,3.8289786772486796
FD001,random_forest,43,30,130,50.0,33,6.369900487883329,4.670651792091186,0.6666666666666666,3.88274401300159
FD001,random_forest,43,30,130,70.0,42,10.43429290411093,7.258428096154285,0.6666666666666666,5.792466951258618
FD001,random_forest,44,30,130,20.0,16,3.7740163656883454,2.8955493476430987,0.6875,2.63217500901876
FD001,random_forest,44,30,130,30.0,25,5.144185803907636,3.908734651274653,0.72,3.4085093602693615
FD001,random_forest,44,30,130,50.0,33,6.193345930851734,4.84353591105864,0.7272727272727273,4.036040761146823
FD001,random_forest,44,30,130,70.0,42,9.82583486314628,6.754104073615979,0.7380952380952381,5.479454476740192
FD001,ridge,42,30,130,20.0,16,18.959103382611534,16.096513748168945,0.4375,7.375786066055298
FD001,ridge,42,30,130,30.0,25,16.86615918014388,13.956310119628906,0.6,8.347510986328125
FD001,ridge,42,30,130,50.0,33,16.873155323010653,14.267413168242484,0.696969696969697,10.01832291574189
FD001,ridge,42,30,130,70.0,42,18.434596551214106,15.507437478928338,0.7142857142857143,11.989649363926478
FD001,ridge,43,30,130,20.0,16,18.713564910267106,16.173411965370178,0.4375,6.886063456535339
FD001,ridge,43,30,130,30.0,25,16.356028172366713,13.716288986206054,0.56,7.692421035766602
FD001,ridge,43,30,130,50.0,33,16.34328774674211,13.95969327290853,0.6666666666666666,9.396156946818033
FD001,ridge,43,30,130,70.0,42,17.655401082001237,14.948801176888603,0.7142857142857143,11.245571454366049
FD001,ridge,44,30,130,20.0,16,18.90508822333216,15.723859786987305,0.5,7.2362220287323
FD001,ridge,44,30,130,30.0,25,16.620992355589085,13.761743469238281,0.68,8.329655303955079
FD001,ridge,44,30,130,50.0,33,16.81739759291951,14.033391547925545,0.7575757575757576,9.918173240892814
FD001,ridge,44,30,130,70.0,42,18.2578176123981,15.070142382667179,0.7857142857142857,11.76339358375186
FD001,tcn,42,30,130,20.0,16,5.265150315549943,3.4520571875000003,0.625,2.9251567187500003
FD001,tcn,42,30,130,30.0,25,8.605853003139183,5.582504360000001,0.72,5.18014418
FD001,tcn,42,30,130,50.0,33,10.353207705854398,7.164343818181818,0.6666666666666666,5.785699196969697
FD001,tcn,42,30,130,70.0,42,13.888305274869017,9.620762642857144,0.6904761904761905,8.013940535714285
FD001,tcn,43,30,130,20.0,16,4.296388998801349,3.65506453125,0.4375,1.9252939374999998
FD001,tcn,43,30,130,30.0,25,8.48957533698899,6.04344582,0.56,4.33946616
FD001,tcn,43,30,130,50.0,33,11.392396770099658,7.7698140757575755,0.6060606060606061,5.3759218484848486
FD001,tcn,43,30,130,70.0,42,15.273927236761672,10.715014964285714,0.6428571428571429,8.224902404761904
FD001,tcn,44,30,130,20.0,16,4.976033508180172,3.712600275,0.3125,1.1598721875
FD001,tcn,44,30,130,30.0,25,7.8432739494199275,5.2485680960000005,0.56,3.61482212
FD001,tcn,44,30,130,50.0,33,10.273902150008274,7.116369193939395,0.5454545454545454,4.4803473333333335
FD001,tcn,44,30,130,70.0,42,16.025403751175567,10.698584438095239,0.5952380952380952,8.0909055
FD002,gradient_boosting,42,30,130,20.0,53,13.15779126514423,10.622600845722769,0.6415094339622641,7.782165931164234
FD002,gradient_boosting,42,30,130,30.0,61,16.11127003031928,12.095499528026064,0.6721311475409836,9.567689138635915
FD002,gradient_boosting,42,30,130,50.0,88,18.375690221673118,13.968866390873702,0.7045454545454546,11.435329718109829
FD002,gradient_boosting,42,30,130,70.0,112,21.176011956844945,16.552264156150805,0.6964285714285714,13.326300094549122
FD002,gradient_boosting,43,30,130,20.0,53,12.257566859973123,9.79508057796593,0.6415094339622641,7.331319731690148
FD002,gradient_boosting,43,30,130,30.0,61,15.51127598389354,11.333541650671423,0.6721311475409836,9.137772961851159
FD002,gradient_boosting,43,30,130,50.0,88,17.61326917972721,13.064406612213896,0.6931818181818182,10.833489391779809
FD002,gradient_boosting,43,30,130,70.0,112,20.763440694594557,15.816337759109317,0.6964285714285714,12.931137826226104
FD002,gradient_boosting,44,30,130,20.0,53,12.478734877909062,10.294376588720718,0.6415094339622641,7.4857835937089
FD002,gradient_boosting,44,30,130,30.0,61,15.739998339213416,11.817961367843386,0.6721311475409836,9.296242973136298
FD002,gradient_boosting,44,30,130,50.0,88,18.304137825710864,13.812860529210361,0.6931818181818182,11.220019509010996
FD002,gradient_boosting,44,30,130,70.0,112,21.221850745434775,16.49787623176098,0.6964285714285714,13.297551919226718
FD002,gru,42,30,130,20.0,53,5.857531697302639,4.452121669811321,0.8113207547169812,4.081281452830188
FD002,gru,42,30,130,30.0,61,7.781323105813258,5.226609696721312,0.8032786885245902,4.73706124590164
FD002,gru,42,30,130,50.0,88,11.482457078314358,7.5405693465909085,0.7954545454545454,6.940577181818182
FD002,gru,42,30,130,70.0,112,14.708838185021268,9.716303129464285,0.7589285714285714,8.637467928571429
FD002,gru,43,30,130,20.0,53,6.3503450106561,4.9881906773584905,0.5660377358490566,3.550878273584906
FD002,gru,43,30,130,30.0,61,6.843975243799192,5.395806752459017,0.5901639344262295,4.011847254098361
FD002,gru,43,30,130,50.0,88,10.227300807440276,7.282963169318182,0.5681818181818182,5.336458380681818
FD002,gru,43,30,130,70.0,112,12.829796772467178,9.076867008035714,0.5803571428571429,6.745659566964286
FD002,gru,44,30,130,20.0,53,5.172942598150272,4.2359935396226405,0.5471698113207547,2.6926448754716983
FD002,gru,44,30,130,30.0,61,6.030517753217285,4.878237272131147,0.5573770491803278,3.1315881049180327
FD002,gru,44,30,130,50.0,88,8.653411115114526,6.1456319613636365,0.5227272727272727,4.075646675
FD002,gru,44,30,130,70.0,112,11.707396995516778,8.241565121428573,0.5267857142857143,5.396168717857143
FD002,gru_safety_mse,42,30,130,20.0,53,5.033883307894648,4.334078588679246,0.37735849056603776,1.724614811320755
FD002,gru_safety_mse,42,30,130,30.0,61,5.023737222819274,4.359449675409836,0.4098360655737705,1.7906110327868852
FD002,gru_safety_mse,42,30,130,50.0,88,8.539484653392364,6.285314081818182,0.38636363636363635,2.494422272727273
FD002,gru_safety_mse,42,30,130,70.0,112,11.742729281843125,8.524707501785715,0.39285714285714285,3.9648522053571424
FD002,gru_safety_mse,43,30,130,20.0,53,4.752260861914791,3.906955179245283,0.5471698113207547,2.717297816981132
FD002,gru_safety_mse,43,30,130,30.0,61,4.8138362777897745,3.9777430081967218,0.5573770491803278,2.683349808196721
FD002,gru_safety_mse,43,30,130,50.0,88,7.1587169223447855,5.3488480284090905,0.4659090909090909,2.9219975034090906
FD002,gru_safety_mse,43,30,130,70.0,112,10.096207748900131,7.308624424107143,0.44642857142857145,3.887361333035714
FD002,gru_safety_mse,44,30,130,20.0,53,4.884785813540474,4.19570297981132,0.39622641509433965,1.6911418113207548
FD002,gru_safety_mse,44,30,130,30.0,61,5.322808170030163,4.559271310327867,0.4262295081967213,1.976889737704918
FD002,gru_safety_mse,44,30,130,50.0,88,8.67361998444388,6.42794523784091,0.375,2.7421078068181814
FD002,gru_safety_mse,44,30,130,70.0,112,10.890150564342479,8.282377713660713,0.4017857142857143,3.913522196428571
FD002,random_forest,42,30,130,20.0,53,8.206609889313869,5.754205384936518,0.6226415094339622,4.861866860428182
FD002,random_forest,42,30,130,30.0,61,12.361507259093901,7.204631941980304,0.6229508196721312,6.233618649413734
FD002,random_forest,42,30,130,50.0,88,15.742160753894218,10.140897076828898,0.6818181818181818,9.262386489352401
FD002,random_forest,42,30,130,70.0,112,18.39000808858005,12.792380234101216,0.6785714285714286,10.949492073155023
FD002,random_forest,43,30,130,20.0,53,7.986526951010544,5.855959116355345,0.6415094339622641,4.844808423407481
FD002,random_forest,43,30,130,30.0,61,12.205570586882644,7.389579455001587,0.639344262295082,6.241639304836028
FD002,random_forest,43,30,130,50.0,88,15.148031543571719,9.741071354256013,0.6931818181818182,8.742783220462199
FD002,random_forest,43,30,130,70.0,112,18.159877671331145,12.504469537985162,0.6964285714285714,10.646888165571202
FD002,random_forest,44,30,130,20.0,53,7.77855102399765,5.622445718327794,0.6226415094339622,4.688137399288342
FD002,random_forest,44,30,130,30.0,61,11.63195285107868,7.0010858713235775,0.6229508196721312,5.951865975251222
FD002,random_forest,44,30,130,50.0,88,15.236995981126654,9.606872114627798,0.6931818181818182,8.59411825569212
FD002,random_forest,44,30,130,70.0,112,17.77166573633711,12.183549369611873,0.6964285714285714,10.317304846360653
FD002,ridge,42,30,130,20.0,53,15.2624890881454,12.557043111549234,0.6226415094339622,8.893768742399395
FD002,ridge,42,30,130,30.0,61,16.74388459810136,13.671471392522093,0.639344262295082,10.07114022677062
FD002,ridge,42,30,130,50.0,88,18.126935011320978,14.90744161605835,0.7045454545454546,12.222056172110818
FD002,ridge,42,30,130,70.0,112,19.89621378015385,16.077006101608276,0.7321428571428571,13.797358206340245
FD002,ridge,43,30,130,20.0,53,15.208691618624137,12.250582569050339,0.6037735849056604,8.720722414412588
FD002,ridge,43,30,130,30.0,61,16.647797680182222,13.415837147196786,0.6229508196721312,9.870940911965292
FD002,ridge,43,30,130,50.0,88,17.848835680788827,14.463200135664506,0.7159090909090909,11.881219603798606
FD002,ridge,43,30,130,70.0,112,19.92386328935896,15.948966435023717,0.7410714285714286,13.715534312384468
FD002,ridge,44,30,130,20.0,53,16.018404578051875,13.175101658083358,0.6037735849056604,9.128401414403376
FD002,ridge,44,30,130,30.0,61,17.342610686952256,14.164414953012935,0.6229508196721312,10.216882299204341
FD002,ridge,44,30,130,50.0,88,18.581439955983658,15.286119200966574,0.7045454545454546,12.38329384543679
FD002,ridge,44,30,130,70.0,112,20.263764165274658,16.45203365598406,0.7321428571428571,14.009114878518242
FD002,tcn,42,30,130,20.0,53,6.177620791477527,5.012730966037736,0.7358490566037735,4.467233298113207
FD002,tcn,42,30,130,30.0,61,6.28864354681104,5.130239872131147,0.7213114754098361,4.3713899967213115
FD002,tcn,42,30,130,50.0,88,7.905129594264926,6.052694979545453,0.6818181818181818,4.643898065909091
FD002,tcn,42,30,130,70.0,112,11.31274111670312,7.942974528571428,0.6160714285714286,5.685444542857143
FD002,tcn,43,30,130,20.0,53,7.337008863706992,5.813316928301887,0.8679245283018868,5.48960853773585
FD002,tcn,43,30,130,30.0,61,7.695362334697452,6.008058937704918,0.8360655737704918,5.404458959016394
FD002,tcn,43,30,130,50.0,88,9.668068009737372,6.950330513636363,0.7727272727272727,5.948027267045455
FD002,tcn,43,30,130,70.0,112,13.231885973607698,8.97289573392857,0.7410714285714286,7.543117566964286
FD002,tcn,44,30,130,20.0,53,4.423742717874653,3.5834209433962254,0.5849056603773585,2.210104405660377
FD002,tcn,44,30,130,30.0,61,5.293539328931443,4.003920388524589,0.5573770491803278,2.196179991803279
FD002,tcn,44,30,130,50.0,88,9.321002514622313,6.394900894318181,0.5340909090909091,3.7122728920454544
FD002,tcn,44,30,130,70.0,112,12.838433788261197,8.561047077678571,0.5446428571428571,5.725747790178572
FD003,cnn,42,30,130,20.0,14,21.460273227302164,15.25920631428571,0.9285714285714286,14.605454428571424
FD003,cnn,42,30,130,30.0,20,23.86963129649715,16.807950920000003,0.85,15.833974500000002
FD003,cnn,42,30,130,50.0,29,26.016855807382555,17.930194531034484,0.7241379310344828,16.726127137931037
FD003,cnn,42,30,130,70.0,47,28.36688699174862,20.46889547659574,0.7446808510638298,19.16102314893617
FD003,cnn,43,30,130,20.0,14,16.498285309553715,10.265406707142857,0.6428571428571429,9.063955428571429
FD003,cnn,43,30,130,30.0,20,20.230373899382744,12.975396195000002,0.65,11.56687655
FD003,cnn,43,30,130,50.0,29,24.454307663906327,15.533699031034484,0.5862068965517241,13.756057344827585
FD003,cnn,43,30,130,70.0,47,27.377440020371225,18.538744274468087,0.6595744680851063,16.75364642553192
FD003,cnn,44,30,130,20.0,14,15.450731328267441,9.77980592857143,0.6428571428571429,8.654006178571429
