subset,model,critical_threshold_checked,critical_count_mean,critical_count_std,critical_rmse_mean,critical_rmse_std,critical_mae_mean,critical_mae_std,critical_overestimation_ratio_mean,critical_overestimation_ratio_std,critical_overestimation_magnitude_mean,critical_overestimation_magnitude_std
FD001,cnn,20.0,16.0,0.0,21.536931492147446,4.7791319654487525,11.84759771875,4.862185479538111,0.6458333333333334,0.20090939085401988,10.799276541666666,5.536751899907102
FD001,cnn,30.0,25.0,0.0,26.51965349813069,2.429865752062355,16.979218120000002,3.3703645150479304,0.7066666666666667,0.1514375558880073,15.932654906666668,3.9623865575706976
FD001,cnn,50.0,33.0,0.0,25.414951566733862,2.0834942424732885,17.224857464646462,2.710041866223636,0.6868686868686869,0.13664393190372412,15.42058798989899,3.577477963168348
FD001,cnn,70.0,42.0,0.0,26.427783586312973,1.6716020763996056,19.13151183333333,1.9652206750656978,0.7380952380952381,0.13256581816261953,17.53650118253968,2.7685153236165183
FD001,gradient_boosting,20.0,16.0,0.0,4.508580449545029,0.2723757798857174,3.7026600400329226,0.278667408313748,0.7291666666666666,0.036084391824351615,3.0549748423377827,0.25793545968014464
FD001,gradient_boosting,30.0,25.0,0.0,5.1932893717269835,0.3198636621151733,4.198983251349275,0.29044308011022824,0.6933333333333334,0.06110100926607783,3.0577013083487254,0.3262277784719162
FD001,gradient_boosting,50.0,33.0,0.0,5.604787987774121,0.24223818719476306,4.345137685176126,0.21624824273875182,0.6565656565656566,0.04628864338339236,3.0467521842222514,0.18490812048580144
FD001,gradient_boosting,70.0,42.0,0.0,9.8630383128954,0.6592262170546329,6.937969290045522,0.17986149813015254,0.6746031746031745,0.03636964837266539,4.95428262344189,0.16186951274755865
FD001,gru,20.0,16.0,0.0,4.08588453040856,1.170919373865671,2.8509970687500004,0.7099935578655622,0.4791666666666667,0.2194927865177654,1.8388909270833331,0.852596127990974
FD001,gru,30.0,25.0,0.0,4.613046139583447,0.9997698704879945,3.5473779239999996,0.5876947074786341,0.5333333333333333,0.1514375558880073,2.3607265133333333,0.722777573422716
FD001,gru,50.0,33.0,0.0,5.70973918822559,0.6529109940880662,4.226879558585859,0.32009635969478867,0.5353535353535354,0.09741061374740359,2.622472580808081,0.6019269294323522
FD001,gru,70.0,42.0,0.0,11.27294449992459,0.331733674048755,7.2019013674603185,0.3142788515248533,0.5873015873015873,0.07653691080153138,5.243122678571429,0.24658767846361476
FD001,gru_safety_mse,20.0,16.0,0.0,3.7270312494862807,0.17705442042149058,2.8999480020833333,0.2965171049053374,0.6041666666666666,0.21949278651776538,2.21126559375,0.6948371300814973
FD001,gru_safety_mse,30.0,25.0,0.0,3.7518960000233896,0.07566398371458805,3.0024281213333333,0.11602146979618369,0.5466666666666667,0.1404753833713699,2.1529467400000004,0.4513396019895266
FD001,gru_safety_mse,50.0,33.0,0.0,4.863028433616554,0.3935651302188954,3.631266596969697,0.10438224249372849,0.48484848484848486,0.1092591295595148,1.9905113989898993,0.19088495548189804
FD001,gru_safety_mse,70.0,42.0,0.0,10.239569299814795,2.285149999300397,6.324684381746032,0.5233282771240275,0.5396825396825397,0.07653691080153135,4.149413511904762,0.5657129912404799
FD001,lstm,20.0,16.0,0.0,4.090205410526132,0.7955551513619973,3.223475039583333,0.775918070854444,0.6875,0.21650635094610965,2.6284793854166666,1.2133028768360112
FD001,lstm,30.0,25.0,0.0,4.5755519257426105,0.6296964415302979,3.6558311320000008,0.7011843941490606,0.7066666666666667,0.18475208614068028,3.1374581800000008,0.932526435868089
FD001,lstm,50.0,33.0,0.0,6.52191097457552,0.656858794353635,4.721596584848485,0.1939942249880349,0.6868686868686869,0.11472542112727827,3.5338799343434353,0.45226257094255806
FD001,lstm,70.0,42.0,0.0,11.45758841701462,1.0435445120378284,7.2733316738095235,0.8604743348007904,0.6904761904761904,0.0858464589396188,5.63339328968254,1.1185859036349124
FD001,random_forest,20.0,16.0,0.0,4.5436061014057865,0.6675639166961251,3.3087503757816257,0.35864344338879334,0.7083333333333334,0.036084391824351615,3.0002089922037833,0.3227060611384666
FD001,random_forest,30.0,25.0,0.0,5.5878889242059175,0.4178686691164321,4.1213702982203,0.22129303703484146,0.7200000000000001,0.03999999999999995,3.6198726791726803,0.21024374723936884
FD001,random_forest,50.0,33.0,0.0,6.205035233290637,0.1593424994808987,4.680192936786372,0.1587875364558932,0.7272727272727272,0.060606060606060635,3.9009016241895043,0.12703732237606052
FD001,random_forest,70.0,42.0,0.0,9.796415050820684,0.6530849315409873,6.811442038267436,0.4212539701282207,0.7301587301587302,0.05991932091484723,5.464517393100728,0.3356674532082877
FD001,ridge,20.0,16.0,0.0,18.859252172070267,0.12902710198547865,15.997928500175476,0.24044454373856586,0.4583333333333333,0.036084391824351615,7.166023850440979,0.25229525708051764
FD001,ridge,30.0,25.0,0.0,16.614393236033226,0.25512952114195214,13.811447525024414,0.12749669012798337,0.6133333333333334,0.06110100926607785,8.123195775349934,0.3731686797489417
FD001,ridge,50.0,33.0,0.0,16.677946887557425,0.2911611006207083,14.086832663025518,0.16066999745886534,0.7070707070707071,0.04628864338339233,9.777551034484246,0.33407121534659484
FD001,ridge,70.0,42.0,0.0,18.115938415204482,0.40851398355221025,15.175460346161373,0.2938324940592525,0.7380952380952381,0.04123930494211609,11.666204800681463,0.3814409895907663
FD001,tcn,20.0,16.0,0.0,4.845857607510488,0.49732680004549334,3.606573997916667,0.13687283871616535,0.4583333333333333,0.15728821740147395,2.003440947916667,0.8852330684601828
FD001,tcn,30.0,25.0,0.0,8.3129007631827,0.410843196444902,5.624839425333334,0.39912634884888004,0.6133333333333334,0.09237604307034009,4.378144153333333,0.7833774813312425
FD001,tcn,50.0,33.0,0.0,10.673168875320776,0.6241305282295219,7.350175695959596,0.36420827625468005,0.6060606060606061,0.06060606060606062,5.21398945959596,0.6675720529674518
FD001,tcn,70.0,42.0,0.0,15.06254542093542,1.0841167734171653,10.3447873484127,0.627077603840888,0.6428571428571429,0.04761904761904766,8.109916146825396,0.10675804919328635
FD002,gradient_boosting,20.0,53.0,0.0,12.631364334342138,0.4691191833049572,10.237352670803139,0.41669682479962655,0.6415094339622641,0.0,7.5330897521877604,0.22911564409174903
FD002,gradient_boosting,30.0,61.0,0.0,15.787514784475412,0.3028061646735994,11.749000848846956,0.3856314517786257,0.6721311475409836,0.0,9.33390169120779,0.21741806284298631
FD002,gradient_boosting,50.0,88.0,0.0,18.09769907570373,0.4210512788590614,13.615377844099319,0.48348881165166235,0.6969696969696969,0.006560798513518501,11.16294620630021,0.3049523995822855
FD002,gradient_boosting,70.0,112.0,0.0,21.05376779895809,0.2524731060547486,16.28882604900703,0.4100895019964668,0.6964285714285715,0.0,13.18499661333398,0.22031755999012834
FD002,gru,20.0,53.0,0.0,5.793606435369671,0.5912985198514663,4.558768628930817,0.38727291916886986,0.6415094339622641,0.14736320143220102,3.4416015339622645,0.7007381396508908
FD002,gru,30.0,61.0,0.0,6.8852720342765785,0.8761329318930307,5.166884573770492,0.2639031251715924,0.6502732240437158,0.13351684943027997,3.960165534972678,0.8039833652966849
FD002,gru,50.0,88.0,0.0,10.121056333623054,1.417512321511471,6.989721492424242,0.7422638263965526,0.6287878787878788,0.14611592062110537,5.450894079166666,1.435889393038391
FD002,gru,70.0,112.0,0.0,13.08201065100174,1.51653261880766,9.011578419642857,0.7395336354196699,0.6220238095238095,0.12155105867060796,6.926432071130953,1.6281935287432134
FD002,gru_safety_mse,20.0,53.0,0.0,4.890309994449971,0.14089246946150133,4.145578915911949,0.2179286994821111,0.4402515723270441,0.09307326155313672,2.044351479874214,0.5830288928530586
FD002,gru_safety_mse,30.0,61.0,0.0,5.053460556879737,0.25578448782802027,4.298821331311475,0.29546681476261444,0.4644808743169399,0.08086693216911878,2.150283526229508,0.4709508304528679
FD002,gru_safety_mse,50.0,88.0,0.0,8.123940520060343,0.8385943697338413,6.020702449356061,0.5861972226790114,0.4090909090909091,0.049532942540234916,2.7195091943181815,0.21468154890056637
FD002,gru_safety_mse,70.0,112.0,0.0,10.90969586502858,0.8234347598294717,8.03856987985119,0.6436584558787488,0.4136904761904762,0.028701341550574286,3.921911911607143,0.03942079798617914
FD002,random_forest,20.0,53.0,0.0,7.990562621440688,0.21405796649696987,5.744203406539886,0.11707756592737317,0.6289308176100629,0.010893401305464635,4.798270894374668,0.09575900805326186
FD002,random_forest,30.0,61.0,0.0,12.066343565685074,0.38418814549289726,7.19843242276849,0.19432097588420244,0.6284153005464481,0.00946475851130535,6.1423746431669946,0.16503407872809933
FD002,random_forest,50.0,88.0,0.0,15.37572942619753,0.32044126798141126,9.82961351523757,0.27780469896482046,0.6893939393939394,0.006560798513518525,8.866429321835573,0.3508730209327651
FD002,random_forest,70.0,112.0,0.0,18.107183832082768,0.3125208739674569,12.493466380566083,0.30456453748524626,0.6904761904761904,0.010309826235528995,10.637895028362292,0.31618954729423465
FD002,ridge,20.0,53.0,0.0,15.496528428273805,0.4527577483733555,12.660909112894311,0.4709299270307346,0.610062893081761,0.010893401305464635,8.914297523738453,0.2046133302251403
FD002,ridge,30.0,61.0,0.0,16.911430988411947,0.37649053543719213,13.75057449757727,0.38050645035551994,0.6284153005464481,0.00946475851130535,10.05298781264675,0.17368360157226348
FD002,ridge,50.0,88.0,0.0,18.18573688269782,0.3698249600371775,14.88558698422981,0.4118946050978066,0.7083333333333334,0.006560798513518485,12.16218987378207,0.25633496890949026
FD002,ridge,70.0,112.0,0.0,20.02794707826249,0.2046909810787953,16.159335397538683,0.2614435731233176,0.7351190476190476,0.0051549131177645695,13.84066913241432,0.15150664817394044
FD002,tcn,20.0,53.0,0.0,5.979457457686391,1.4667076870520646,4.803156279245283,1.1296239143550009,0.7295597484276729,0.1416142169710403,4.055648747169811,1.6780459528888008
FD002,tcn,30.0,61.0,0.0,6.4258484034799785,1.2067755869576062,5.047406399453552,1.0046336990289202,0.7049180327868853,0.1400656351691399,3.990676315846995,1.6376723307698542
FD002,tcn,50.0,88.0,0.0,8.96473337287487,0.9339077792845609,6.4659754624999985,0.4530188557856527,0.6628787878787878,0.1204402507241261,4.768066075,1.1230372554791364
FD002,tcn,70.0,112.0,0.0,12.46102029285734,1.0137109821495183,8.492305780059523,0.5183902456738937,0.6339285714285715,0.0994243636219647,6.3181033,1.0610848475196024
FD003,cnn,20.0,14.0,0.0,17.803096621707773,3.2102255184499664,11.76813965,3.0330861955939388,0.7380952380952381,0.16495721976846453,10.774472011904761,3.3240538961486097
FD003,cnn,30.0,20.0,0.0,21.712345479553733,1.9113046825149629,14.448971888333334,2.0639944848954466,0.7166666666666667,0.11547005383792512,13.224260241666668,2.287407125957094
FD003,cnn,50.0,29.0,0.0,24.908562009269815,0.9649947561954199,16.453285601149428,1.291802550665101,0.6436781609195402,0.07178158618848736,14.774184350574714,1.690957592449672
FD003,cnn,70.0,47.0,0.0,27.6218601937677,0.6578043567242071,19.31271735673759,1.0202604735249294,0.6879432624113475,0.049136193122521384,17.586399656028373,1.3644208613125435
FD003,gradient_boosting,20.0,14.0,0.0,3.3997199142821226,0.6384583749835042,2.73598060374889,0.2953980619283243,0.6190476190476191,0.041239304942116174,1.9522801507511707,0.5234523258959612
FD003,gradient_boosting,30.0,20.0,0.0,4.093879363508589,0.1718556387657132,3.2763498777796216,0.23111881327898184,0.5833333333333334,0.028867513459481266,2.326318610625695,0.10357920570548376
FD003,gradient_boosting,50.0,29.0,0.0,5.5330760195497115,0.6138067081619552,4.348558813175862,0.22649570374831407,0.5862068965517241,0.0,2.543715146590247,0.14131983994889516
FD003,gradient_boosting,70.0,47.0,0.0,9.785511726188162,0.5199775455576267,6.821392506175559,0.5512515681071363,0.6312056737588653,0.012284048280630337,5.200826160040557,0.7284736046741922
FD003,gru,20.0,14.0,0.0,4.855932811344137,0.3805219230628266,3.674925521428571,0.5700121086289933,0.7380952380952381,0.08247860988423221,3.071257535714286,0.13206983893073446
FD003,gru,30.0,20.0,0.0,5.2901857722828405,1.2278473838925281,3.912800948333334,1.1285833636627534,0.6833333333333332,0.028867513459481256,3.085471875,0.6877183530717146
FD003,gru,50.0,29.0,0.0,6.194172950106789,2.039994355105276,4.647258159770115,1.693894778577711,0.5977011494252874,0.03981725994411215,3.136995948275862,1.0414003321884333
FD003,gru,70.0,47.0,0.0,13.110431830849658,2.552126505621557,8.185944729787236,1.843155543271108,0.6595744680851064,0.03685214484189098,6.75918845744681,1.3613781289195104
FD003,gru_safety_mse,20.0,14.0,0.0,3.583238178320242,1.6054841016716324,2.7698549928571423,1.18740063110568,0.6190476190476191,0.16495721976846453,1.9401380928571428,1.2167756154973781
FD003,gru_safety_mse,30.0,20.0,0.0,5.423425450958366,4.185045381625887,3.991303145,2.783961900110426,0.5833333333333334,0.11547005383792514,2.2339591983333333,1.8452271303138863
FD003,gru_safety_mse,50.0,29.0,0.0,7.574266791762987,5.18349348368312,5.347706789655173,3.3274239413939584,0.5172413793103449,0.10344827586206896,2.9619467344827584,2.644895270865944
FD003,gru_safety_mse,70.0,47.0,0.0,12.700408868741844,4.3031611105996,8.407757664539007,3.6529420114046025,0.5390070921985816,0.08598833796441235,5.597398481560283,2.726731701304232
FD003,lstm,20.0,14.0,0.0,5.052593377729547,0.7993464657797761,3.6403012333333336,0.30102452439865535,0.5476190476190476,0.21821789023599236,2.4282556714285715,0.6756742805850683
FD003,lstm,30.0,20.0,0.0,5.19923563547252,0.6295815745067348,3.885959596666666,0.11058891472765352,0.5333333333333333,0.18929694486000911,2.5836673033333333,0.7592925794744112
FD003,lstm,50.0,29.0,0.0,5.091451120678589,0.4048907030742308,3.890364089655172,0.33190856373034827,0.4942528735632184,0.12109946842359473,2.249974611494253,0.6295238667162951
FD003,lstm,70.0,47.0,0.0,11.590168273061769,3.0825167627471317,7.211406367375886,1.5718134623304854,0.5744680851063829,0.09274253071363137,5.65234344113475,1.6716227029914392
FD003,random_forest,20.0,14.0,0.0,2.4738973156703685,0.336612992014991,1.9297138677019616,0.3251531210982257,0.6904761904761906,0.04123930494211611,1.3909661037815788,0.28635726141157647
FD003,random_forest,30.0,20.0,0.0,3.5912163909188606,0.5176603519570923,2.654675387112887,0.19940128778596253,0.6833333333333332,0.02886751345948121,1.9295820910570918,0.15169029999329095
FD003,random_forest,50.0,29.0,0.0,4.761971324153413,0.07086010402844903,3.492173362184856,0.20398219258977862,0.6551724137931035,0.034482758620689696,2.4324559306168503,0.04037166968486942
FD003,random_forest,70.0,47.0,0.0,10.672057489637908,0.5302368789489939,6.8187424883364605,0.34935792598437126,0.6666666666666666,0.03250053684365845,5.601656201626059,0.5836604212406162
FD003,ridge,20.0,14.0,0.0,14.434062852709145,0.3916339613407839,11.584726787748792,0.3215623458703007,0.4761904761904762,0.04123930494211614,4.598907470703125,0.18486985101356676
FD003,ridge,30.0,20.0,0.0,15.48943933981622,0.5933504660585303,12.361558087666829,0.4597137864659406,0.5333333333333333,0.07637626158259733,6.9206852595011386,0.5800413929752161
FD003,ridge,50.0,29.0,0.0,15.87434888090629,0.5274444138274554,12.6845176082918,0.4553151773845566,0.632183908045977,0.052673283850067205,8.788516472125876,0.6941014422281869
FD003,ridge,70.0,47.0,0.0,18.787405043774555,0.7863980221658242,15.261598817000154,0.6557810105207065,0.75177304964539,0.03250053684365843,12.817159747401028,0.7869933881905514
FD003,tcn,20.0,14.0,0.0,5.025141275914359,1.2170769734591853,4.314397478571429,1.0947710492151204,0.2857142857142857,0.12371791482634836,1.1751313761904763,0.41900979733745314
FD003,tcn,30.0,20.0,0.0,7.461730936259307,2.3608877977357245,5.909525268333333,1.8549154661353253,0.35000000000000003,0.08660254037844388,2.40576233,0.8810304112789352
FD003,tcn,50.0,29.0,0.0,13.700073405546071,1.368595004239686,8.897809122988507,1.2454993114107094,0.3908045977011494,0.019908629972056075,5.1338109402298855,0.8076358182159759
FD003,tcn,70.0,47.0,0.0,18.78059869761428,0.7063818982679873,12.741148168085106,0.9784446903696444,0.5106382978723404,0.03685214484189104,9.514005878014187,0.33914213437562507
FD004,gradient_boosting,20.0,40.0,0.0,13.401601163405886,0.9933639306321076,11.024839053292636,1.0000054339976003,0.8083333333333332,0.038188130791298645,9.736631645658564,0.8200072354003867
FD004,gradient_boosting,30.0,53.0,0.0,16.2520028084348,1.1318929248829688,12.757138182953463,1.039841697014473,0.8050314465408807,0.02178680261092927,11.370287090086821,0.848732363280492
FD004,gradient_boosting,50.0,80.0,0.0,19.264133644095747,1.1261077273825757,15.069616098970698,0.9746249526140892,0.7833333333333333,0.014433756729740658,13.37039387785611,0.8904279475287769
FD004,gradient_boosting,70.0,97.0,0.0,20.944327601607032,0.902858707758828,16.221857514234095,0.8928992769797227,0.7422680412371134,0.010309278350515455,13.820570878809036,0.8418582589484449
FD004,gru,20.0,40.0,0.0,12.760138514096603,2.3685192931212518,9.7136656275,1.7366702097575493,0.8416666666666667,0.03818813079129864,9.072420041666668,2.1020971772853208
FD004,gru,30.0,53.0,0.0,16.435726009555243,2.899211820168786,11.111399190566038,1.9689051901809471,0.8427672955974842,0.02882123078588578,10.423876194968555,2.278435388175643
FD004,gru,50.0,80.0,0.0,19.486042557959777,1.3013900080173393,12.91635643875,1.2347628487139304,0.8041666666666667,0.01909406539564935,11.763643324999999,1.5278122831518575
FD004,gru,70.0,97.0,0.0,20.026294203421596,0.7015977586487036,13.910594688316152,0.8809964971760389,0.7800687285223368,0.021460474221300378,12.198524357388317,1.086205202549918
FD004,gru_safety_mse,20.0,40.0,0.0,9.350959612307618,3.258464424033605,6.676636478333333,1.832747311197881,0.6999999999999998,0.125,5.327350695833334,2.157182540023661
FD004,gru_safety_mse,30.0,53.0,0.0,11.18988212525808,3.958774330206337,7.695593688050315,2.2157183701226444,0.6666666666666666,0.12276239808769272,6.02586970754717,2.59348103575853
