subset,contrast_id,metric,mean_seed_difference,seeds_candidate_lower,seeds_candidate_higher,seeds_tied
FD001,cycle_vs_lstm,rmse,-0.12310307062069963,2,1,0
FD001,cycle_vs_lstm,mae,-0.20222735246022516,2,1,0
FD001,cycle_vs_lstm,critical_rmse_50,0.12902110572145364,1,2,0
FD001,cycle_vs_lstm,overestimation_ratio,0.023333333333333355,1,1,1
FD001,cycle_vs_lstm,overestimation_magnitude,0.1952000061670942,2,1,0
FD001,cycle_vs_no_cycle,rmse,-0.6495021226688872,3,0,0
FD001,cycle_vs_no_cycle,mae,-0.4718689362208052,2,1,0
FD001,cycle_vs_no_cycle,critical_rmse_50,-0.9040056464091197,2,1,0
FD001,cycle_vs_no_cycle,overestimation_ratio,0.030000000000000065,1,2,0
FD001,cycle_vs_no_cycle,overestimation_magnitude,0.39204891840616884,1,2,0
FD001,safety_vs_cycle,rmse,0.024018703993942125,1,2,0
FD001,safety_vs_cycle,mae,-0.47931642373402933,2,1,0
FD001,safety_vs_cycle,critical_rmse_50,-0.5655913484889563,2,1,0
FD001,safety_vs_cycle,overestimation_ratio,-0.16666666666666666,3,0,0
FD001,safety_vs_cycle,overestimation_magnitude,-3.140354318618775,3,0,0
FD001,safety_vs_rmse_best,rmse,0.024018703993942125,1,2,0
FD001,safety_vs_rmse_best,mae,-0.47931642373402933,2,1,0
FD001,safety_vs_rmse_best,critical_rmse_50,-0.5655913484889563,2,1,0
FD001,safety_vs_rmse_best,overestimation_ratio,-0.16666666666666666,3,0,0
FD001,safety_vs_rmse_best,overestimation_magnitude,-3.140354318618775,3,0,0
FD002,cycle_vs_lstm,rmse,-0.32446344999557536,2,1,0
FD002,cycle_vs_lstm,mae,-0.06215776086927546,2,1,0
FD002,cycle_vs_lstm,critical_rmse_50,0.6696490753789271,1,2,0
FD002,cycle_vs_lstm,overestimation_ratio,0.042471042471042476,1,2,0
FD002,cycle_vs_lstm,overestimation_magnitude,0.895778946894937,0,3,0
FD002,cycle_vs_no_cycle,rmse,0.11069811460309491,1,2,0
FD002,cycle_vs_no_cycle,mae,0.1664915178426606,1,2,0
FD002,cycle_vs_no_cycle,critical_rmse_50,0.47406013117595097,1,2,0
FD002,cycle_vs_no_cycle,overestimation_ratio,0.0308880308880309,1,2,0
FD002,cycle_vs_no_cycle,overestimation_magnitude,0.3809700012207034,0,3,0
FD002,safety_vs_cycle,rmse,2.2616672041792305,0,3,0
FD002,safety_vs_cycle,mae,1.8290471938586144,0,3,0
FD002,safety_vs_cycle,critical_rmse_50,-0.7130920229924698,2,1,0
FD002,safety_vs_cycle,overestimation_ratio,-0.08236808236808235,3,0,0
FD002,safety_vs_cycle,overestimation_magnitude,-1.6694748177644982,3,0,0
FD002,safety_vs_rmse_best,rmse,2.3723653187823253,0,3,0
FD002,safety_vs_rmse_best,mae,1.9955387117012748,0,3,0
FD002,safety_vs_rmse_best,critical_rmse_50,-0.23903189181651877,2,1,0
FD002,safety_vs_rmse_best,overestimation_ratio,-0.05148005148005145,3,0,0
FD002,safety_vs_rmse_best,overestimation_magnitude,-1.2885048165437951,3,0,0
FD003,cycle_vs_lstm,rmse,0.060073155701861815,1,2,0
FD003,cycle_vs_lstm,mae,0.014158673286437681,1,2,0
FD003,cycle_vs_lstm,critical_rmse_50,-0.49983375490606213,1,2,0
FD003,cycle_vs_lstm,overestimation_ratio,-0.010000000000000045,2,1,0
FD003,cycle_vs_lstm,overestimation_magnitude,-0.19666383743286087,1,2,0
FD003,cycle_vs_no_cycle,rmse,-0.5698948597048279,2,1,0
FD003,cycle_vs_no_cycle,mae,-0.5319165484110506,2,1,0
FD003,cycle_vs_no_cycle,critical_rmse_50,-0.6043969552090157,2,1,0
FD003,cycle_vs_no_cycle,overestimation_ratio,-0.050000000000000044,2,1,0
FD003,cycle_vs_no_cycle,overestimation_magnitude,-0.9946489508946735,2,1,0
